YEAR,BookID,PhysicalDescription,Place,Publisher,MediaType,Title,ResTitle
2051,8691,231,"Lalitpur, Nepal",Sajha Prakashan,TEXT MATERIAL,Snatakottar Nepali Katha,Rajendra Subedi
0,9449,231,,,TEXT MATERIAL,Excemplary Practices for secondary math Teachers,Alfred S. Posamentier | Daniel Jaye | Stephen Krulik
2071,9075,326,"Bishal Nagar , Kathmandu",Fine Print,TEXT MATERIAL,Khushi,Vijaya Kumar
2006,1891,181,New York,Oxford University Press,TEXT MATERIAL,Dada and Surreslism :,David Hopkins
2017,10122,1347,New Delhi,S. Chand & Company,TEXT MATERIAL,Advanced Economic Theory: Microeconomic analysis,H.L. Ahuja
1966,3816,120,Meerut,Meenakshi Swaminathan,TEXT MATERIAL,Higher Algebra,J.P. Gupta | A.K. Gupta
2047,13627,113,"Bharatpur,Chitwan","Department of Nepali,Birendra Multiple Campus",TEXT MATERIAL,Kabi Madhav Ghimireka kabitama Rastrabadi showar,"Upadhyaya,adhavsaran"
2014,9585,51,"Bharatpur, Chitwan","Department of Sociology, Birendra Multiple Campus,T.U.",TEXT MATERIAL,A study of Rag Pickers of Ratnanagar Municipality of Chitwan District,Kul Prasad Sunar
2061,13733,101,"Bharatpur, Chitwan","Master of arts in Nepali, Department,Birendra Mult",TEXT MATERIAL,"Lamjung Sundar Bajar Chetraka tij giltko sankalan, bargikaran ra addhyan",Jamuna Kumari Joshi
2000,4102,712,,Harper Collins,TEXT MATERIAL,Collins Dictionary  Sociology,David Jary | Julia Jary
2014,9221,143,New Delhi,Cambridge University press,TEXT MATERIAL,International Express student's Book Upper- Intermediate now with video (Oxford  Business English ),Keith Harding | Adrian Wallwork
1995,5384,270,USA,Management Science for Health,TEXT MATERIAL,Family Planning Management Terms: A Pocket Glossary in Three Languages,Janice Miller | Claire Bahamom
2004,1113,477+I-12,New York,McGraw-Hill,TEXT MATERIAL,Environmental Science,Eldon D. Enger | Bradley F. Smith
2015,12226,69,"Bharatpur , Chitwan","Department of Physics , Birendar Multipel Campus",TEXT MATERIAL,First Principles Study And Stability Of PHN(N=1-3) Molecules,"Gharti,Krishna Bahadur"
2071,8976,92,"Tamghas, Gulmi",Kiran Pustakalaya,TEXT MATERIAL,Hamro Purusartha,Shashi Panthi
2070,8039,418,"Bishalnagar, Kathmandu",Fine Print,TEXT MATERIAL,"Prayogshala : Nepali sankramanma Delhi, Darbar ra Maobadi",Sudhir Sharma
2010,7348,301,New Delhi,Prentice-Hall,TEXT MATERIAL,Introduction to Mathematical Physics,Charlie Harper
2014,8174,464,"Kathmandu, Nepal",Samjhana Publication,TEXT MATERIAL,"Statistical  Methods MBS, MBA and MPA",Rajendra Prasad Upadhayaya | Bijay Lal Pradhan | Kapil Shah | Mukunda Jha | Durga Prasad Bajgain ( Sanjeev) | Prajeet K.Timalsina
2066,4999,361,"Kathmandu, Nepal",Pairabi Prakashan,TEXT MATERIAL,Mathematics & Statistics For Economics,Devnarayan Sutihar
2015,12420,49,"Bharatpur,Chitwan","Department Of Sociology,Birendra Multipel Campus",TEXT MATERIAL,"Child Labour Condition In Small Hotels, Restaurants And Tea Shops","Tamang,Som Bahadur"
2039,3731,150,"Kathmandu, Nepal",Nepal Rajkiya Praggya pratisthan,TEXT MATERIAL,Prachin ra Nabin Ganitko Tulana,Nayan Raj Pant
1996,1012,593,New Delhi,Narosa Publishing House,TEXT MATERIAL,Physics of the Atom,M. Russell Wehr | James A. Richards | Thomas W. Adair
2070,8605,139,Kathmandu,Gyan Gun sahitya Pratisthan,TEXT MATERIAL,Dr. Vijaya Kumar Manandhar Aksharko Avibadan,Shesh Raj Siwakoti
2066,6673,620,"Kathmandu, Nepal",Pairabi Prakashan,TEXT MATERIAL,Samakalin Nepali Kabitaka Prabritti,Laxman Prasad Gautam
2000,2021,50,"Bharatpur, Chitwan",Birendra Multiple Campus,TEXT MATERIAL,Analysis on Cost of Milk Production :,Rishi Ram Paudel
